Group,Sex,Ix ,Iy ,J ,IxIy
Neolithic,Female,247.1136885,223.8108161,470.9245046,1.104118616
Neolithic,Female,223.2418532,249.9296875,473.1715407,0.893218631
Neolithic,Female,270.9462993,231.9881145,502.9344138,1.167931814
Neolithic,Female,263.9957041,243.0197257,507.0154298,1.086313892
Neolithic,Female,261.7452634,247.524641,509.2699044,1.05745134
Neolithic,Female,247.439435,268.1481232,515.5875582,0.922771459
Neolithic,Female,266.5485058,253.6813202,520.229826,1.050721849
Neolithic,Female,320.9382964,214.8381494,535.7764459,1.493860831
Neolithic,Female,312.8326268,282.7011577,595.5337845,1.106584173
Zvejnieki,Female,144.8165131,150.2613035,295.0778166,0.96376452
Zvejnieki,Female,213.61674,211.2632082,424.8799482,1.011140283
Zvejnieki,Female,162.5144803,187.6011067,350.115587,0.866276768
Zvejnieki,Female,151.0791605,128.1704937,279.2496542,1.178735886
Zvejnieki,Female,101.2211124,173.7391981,274.9603105,0.582603773
Zvejnieki,Female,149.926955,217.4536587,367.3806137,0.689466233
Zvejnieki,Female,111.4600421,126.7962094,238.2562515,0.879048693
Zvejnieki,Female,170.1559568,171.3210467,341.4770034,0.993199377
